sample size and proportion,classifier,metric,precision,recall,f1-score,support
200_3070,nb_tfidf,macro avg,0.870967742,0.555555556,0.525925926,32
200_3070,nb_tfidf,weighted avg,0.814516129,0.75,0.668518519,32
200_3070,rf_tfidf,0,1,0.333333333,0.5,9
200_3070,rf_tfidf,1,0.793103448,1,0.884615385,23
200_3070,rf_tfidf,accuracy,0.8125,0.8125,0.8125,0.8125
200_3070,rf_tfidf,macro avg,0.896551724,0.666666667,0.692307692,32
200_3070,rf_tfidf,weighted avg,0.851293103,0.8125,0.776442308,32
200_3070,dt_tfidf,0,0.5,0.666666667,0.571428571,9
200_3070,dt_tfidf,1,0.85,0.739130435,0.790697674,23
200_3070,dt_tfidf,accuracy,0.71875,0.71875,0.71875,0.71875
200_3070,dt_tfidf,macro avg,0.675,0.702898551,0.681063123,32
200_3070,dt_tfidf,weighted avg,0.7515625,0.71875,0.729028239,32
200_3070,svc_tfidf,0,1,0.333333333,0.5,9
200_3070,svc_tfidf,1,0.793103448,1,0.884615385,23
200_3070,svc_tfidf,accuracy,0.8125,0.8125,0.8125,0.8125
200_3070,svc_tfidf,macro avg,0.896551724,0.666666667,0.692307692,32
200_3070,svc_tfidf,weighted avg,0.851293103,0.8125,0.776442308,32
200_3070,lsvc_tfidf,0,0.75,0.666666667,0.705882353,9
200_3070,lsvc_tfidf,1,0.875,0.913043478,0.893617021,23
200_3070,lsvc_tfidf,accuracy,0.84375,0.84375,0.84375,0.84375
200_3070,lsvc_tfidf,macro avg,0.8125,0.789855072,0.799749687,32
200_3070,lsvc_tfidf,weighted avg,0.83984375,0.84375,0.840816646,32
200_3070,sgd_tfidf,0,0.625,0.555555556,0.588235294,9
200_3070,sgd_tfidf,1,0.833333333,0.869565217,0.85106383,23
200_3070,sgd_tfidf,accuracy,0.78125,0.78125,0.78125,0.78125
200_3070,sgd_tfidf,macro avg,0.729166667,0.712560386,0.719649562,32
200_3070,sgd_tfidf,weighted avg,0.774739583,0.78125,0.777143304,32
200_3070,knn_tfidf,0,0.636363636,0.777777778,0.7,9
200_3070,knn_tfidf,1,0.904761905,0.826086957,0.863636364,23
200_3070,knn_tfidf,accuracy,0.8125,0.8125,0.8125,0.8125
200_3070,knn_tfidf,macro avg,0.770562771,0.801932367,0.781818182,32
200_3070,knn_tfidf,weighted avg,0.829274892,0.8125,0.817613636,32
200_3070,lr_w2v,0,0,0,0,9
200_3070,lr_w2v,1,0.71875,1,0.836363636,23
200_3070,lr_w2v,accuracy,0.71875,0.71875,0.71875,0.71875
200_3070,lr_w2v,macro avg,0.359375,0.5,0.418181818,32
200_3070,lr_w2v,weighted avg,0.516601563,0.71875,0.601136364,32
200_4060,lr_tfidf,0,0.888888889,0.470588235,0.615384615,17
200_4060,lr_tfidf,1,0.608695652,0.933333333,0.736842105,15
200_4060,lr_tfidf,accuracy,0.6875,0.6875,0.6875,0.6875
200_4060,lr_tfidf,macro avg,0.748792271,0.701960784,0.67611336,32
200_4060,lr_tfidf,weighted avg,0.757548309,0.6875,0.672317814,32
200_4060,nb_tfidf,0,1,0.176470588,0.3,17
200_4060,nb_tfidf,1,0.517241379,1,0.681818182,15
200_4060,nb_tfidf,accuracy,0.5625,0.5625,0.5625,0.5625
200_4060,nb_tfidf,macro avg,0.75862069,0.588235294,0.490909091,32
200_4060,nb_tfidf,weighted avg,0.773706897,0.5625,0.478977273,32
200_4060,rf_tfidf,0,1,0.176470588,0.3,17
200_4060,rf_tfidf,1,0.517241379,1,0.681818182,15
200_4060,rf_tfidf,accuracy,0.5625,0.5625,0.5625,0.5625
200_4060,rf_tfidf,macro avg,0.75862069,0.588235294,0.490909091,32
200_4060,rf_tfidf,weighted avg,0.773706897,0.5625,0.478977273,32
200_4060,dt_tfidf,0,0.769230769,0.588235294,0.666666667,17
200_4060,dt_tfidf,1,0.631578947,0.8,0.705882353,15
200_4060,dt_tfidf,accuracy,0.6875,0.6875,0.6875,0.6875
200_4060,dt_tfidf,macro avg,0.700404858,0.694117647,0.68627451,32
200_4060,dt_tfidf,weighted avg,0.704706478,0.6875,0.68504902,32
200_4060,svc_tfidf,0,1,0.058823529,0.111111111,17
200_4060,svc_tfidf,1,0.483870968,1,0.652173913,15
200_4060,svc_tfidf,accuracy,0.5,0.5,0.5,0.5
200_4060,svc_tfidf,macro avg,0.741935484,0.529411765,0.381642512,32
200_4060,svc_tfidf,weighted avg,0.758064516,0.5,0.3647343,32
200_4060,lsvc_tfidf,0,0.8,0.470588235,0.592592593,17
200_4060,lsvc_tfidf,1,0.590909091,0.866666667,0.702702703,15
200_4060,lsvc_tfidf,accuracy,0.65625,0.65625,0.65625,0.65625
200_4060,lsvc_tfidf,macro avg,0.695454545,0.668627451,0.647647648,32
200_4060,lsvc_tfidf,weighted avg,0.701988636,0.65625,0.644206707,32
200_4060,sgd_tfidf,0,0.888888889,0.470588235,0.615384615,17
200_4060,sgd_tfidf,1,0.608695652,0.933333333,0.736842105,15
200_4060,sgd_tfidf,accuracy,0.6875,0.6875,0.6875,0.6875
200_4060,sgd_tfidf,macro avg,0.748792271,0.701960784,0.67611336,32
200_4060,sgd_tfidf,weighted avg,0.757548309,0.6875,0.672317814,32
200_4060,knn_tfidf,0,0.769230769,0.588235294,0.666666667,17
200_4060,knn_tfidf,1,0.631578947,0.8,0.705882353,15
200_4060,knn_tfidf,accuracy,0.6875,0.6875,0.6875,0.6875
200_4060,knn_tfidf,macro avg,0.700404858,0.694117647,0.68627451,32
200_4060,knn_tfidf,weighted avg,0.704706478,0.6875,0.68504902,32
200_4060,lr_w2v,0,1,0.058823529,0.111111111,17
200_4060,lr_w2v,1,0.483870968,1,0.652173913,15
200_4060,lr_w2v,accuracy,0.5,0.5,0.5,0.5
200_4060,lr_w2v,macro avg,0.741935484,0.529411765,0.381642512,32
200_4060,lr_w2v,weighted avg,0.758064516,0.5,0.3647343,32
200_5050,lr_tfidf,0,0.8125,0.722222222,0.764705882,18
200_5050,lr_tfidf,1,0.6875,0.785714286,0.733333333,14
200_5050,lr_tfidf,accuracy,0.75,0.75,0.75,0.75
200_5050,lr_tfidf,macro avg,0.75,0.753968254,0.749019608,32
200_5050,lr_tfidf,weighted avg,0.7578125,0.75,0.750980392,32
200_5050,nb_tfidf,0,0.769230769,0.555555556,0.64516129,18
200_5050,nb_tfidf,1,0.578947368,0.785714286,0.666666667,14
200_5050,nb_tfidf,accuracy,0.65625,0.65625,0.65625,0.65625
200_5050,nb_tfidf,macro avg,0.674089069,0.670634921,0.655913978,32
200_5050,nb_tfidf,weighted avg,0.685981781,0.65625,0.654569892,32
200_5050,rf_tfidf,0,0.916666667,0.611111111,0.733333333,18
200_5050,rf_tfidf,1,0.65,0.928571429,0.764705882,14
200_5050,rf_tfidf,accuracy,0.75,0.75,0.75,0.75
200_5050,rf_tfidf,macro avg,0.783333333,0.76984127,0.749019608,32
200_5050,rf_tfidf,weighted avg,0.8,0.75,0.747058824,32
200_5050,dt_tfidf,0,0.533333333,0.444444444,0.484848485,18
200_5050,dt_tfidf,1,0.411764706,0.5,0.451612903,14
200_5050,dt_tfidf,accuracy,0.46875,0.46875,0.46875,0.46875
200_5050,dt_tfidf,macro avg,0.47254902,0.472222222,0.468230694,32
200_5050,dt_tfidf,weighted avg,0.480147059,0.46875,0.470307918,32
200_5050,svc_tfidf,0,0.7,0.388888889,0.5,18
200_5050,svc_tfidf,1,0.5,0.785714286,0.611111111,14
200_5050,svc_tfidf,accuracy,0.5625,0.5625,0.5625,0.5625
200_5050,svc_tfidf,macro avg,0.6,0.587301587,0.555555556,32
200_5050,svc_tfidf,weighted avg,0.6125,0.5625,0.548611111,32
200_5050,lsvc_tfidf,0,0.8125,0.722222222,0.764705882,18
200_5050,lsvc_tfidf,1,0.6875,0.785714286,0.733333333,14
200_5050,lsvc_tfidf,accuracy,0.75,0.75,0.75,0.75
200_5050,lsvc_tfidf,macro avg,0.75,0.753968254,0.749019608,32
200_5050,lsvc_tfidf,weighted avg,0.7578125,0.75,0.750980392,32
200_5050,sgd_tfidf,0,0.785714286,0.611111111,0.6875,18
200_5050,sgd_tfidf,1,0.611111111,0.785714286,0.6875,14
200_5050,sgd_tfidf,accuracy,0.6875,0.6875,0.6875,0.6875
200_5050,sgd_tfidf,macro avg,0.698412698,0.698412698,0.6875,32
200_5050,sgd_tfidf,weighted avg,0.709325397,0.6875,0.6875,32
200_5050,knn_tfidf,0,0.727272727,0.444444444,0.551724138,18
200_5050,knn_tfidf,1,0.523809524,0.785714286,0.628571429,14
200_5050,knn_tfidf,accuracy,0.59375,0.59375,0.59375,0.59375
200_5050,knn_tfidf,macro avg,0.625541126,0.615079365,0.590147783,32
200_5050,knn_tfidf,weighted avg,0.638257576,0.59375,0.585344828,32
200_5050,lr_w2v,0,0.555555556,0.277777778,0.37037037,18
200_5050,lr_w2v,1,0.434782609,0.714285714,0.540540541,14
200_5050,lr_w2v,accuracy,0.46875,0.46875,0.46875,0.46875
200_5050,lr_w2v,macro avg,0.495169082,0.496031746,0.455455455,32
200_5050,lr_w2v,weighted avg,0.502717391,0.46875,0.44481982,32
400_1090,lr_tfidf,0,0,0,0,2
400_1090,lr_tfidf,1,0.96875,1,0.984126984,62
400_1090,lr_tfidf,accuracy,0.96875,0.96875,0.96875,0.96875
400_1090,lr_tfidf,macro avg,0.484375,0.5,0.492063492,64
400_1090,lr_tfidf,weighted avg,0.938476563,0.96875,0.953373016,64
400_1090,nb_tfidf,0,0,0,0,2
400_1090,nb_tfidf,1,0.96875,1,0.984126984,62
400_1090,nb_tfidf,accuracy,0.96875,0.96875,0.96875,0.96875
400_1090,nb_tfidf,macro avg,0.484375,0.5,0.492063492,64
400_1090,nb_tfidf,weighted avg,0.938476563,0.96875,0.953373016,64
400_1090,rf_tfidf,0,0,0,0,2
400_1090,rf_tfidf,1,0.96875,1,0.984126984,62
400_1090,rf_tfidf,accuracy,0.96875,0.96875,0.96875,0.96875
400_1090,rf_tfidf,macro avg,0.484375,0.5,0.492063492,64
400_1090,rf_tfidf,weighted avg,0.938476563,0.96875,0.953373016,64
400_1090,dt_tfidf,0,0,0,0,2
400_1090,dt_tfidf,1,0.967213115,0.951612903,0.959349593,62
400_1090,dt_tfidf,accuracy,0.921875,0.921875,0.921875,0.921875
400_1090,dt_tfidf,macro avg,0.483606557,0.475806452,0.479674797,64
400_1090,dt_tfidf,weighted avg,0.936987705,0.921875,0.929369919,64
400_1090,svc_tfidf,0,0,0,0,2
400_1090,svc_tfidf,1,0.96875,1,0.984126984,62
400_1090,svc_tfidf,accuracy,0.96875,0.96875,0.96875,0.96875
400_1090,svc_tfidf,macro avg,0.484375,0.5,0.492063492,64
400_1090,svc_tfidf,weighted avg,0.938476563,0.96875,0.953373016,64
400_1090,lsvc_tfidf,0,0,0,0,2
400_1090,lsvc_tfidf,1,0.96875,1,0.984126984,62
400_1090,lsvc_tfidf,accuracy,0.96875,0.96875,0.96875,0.96875
400_1090,lsvc_tfidf,macro avg,0.484375,0.5,0.492063492,64
400_1090,lsvc_tfidf,weighted avg,0.938476563,0.96875,0.953373016,64
400_1090,sgd_tfidf,0,0.5,0.5,0.5,2
400_1090,sgd_tfidf,1,0.983870968,0.983870968,0.983870968,62
400_1090,sgd_tfidf,accuracy,0.96875,0.96875,0.96875,0.96875
400_1090,sgd_tfidf,macro avg,0.741935484,0.741935484,0.741935484,64
400_1090,sgd_tfidf,weighted avg,0.96875,0.96875,0.96875,64
400_1090,knn_tfidf,0,0.5,0.5,0.5,2
400_1090,knn_tfidf,1,0.983870968,0.983870968,0.983870968,62
400_1090,knn_tfidf,accuracy,0.96875,0.96875,0.96875,0.96875
400_1090,knn_tfidf,macro avg,0.741935484,0.741935484,0.741935484,64
400_1090,knn_tfidf,weighted avg,0.96875,0.96875,0.96875,64
400_1090,lr_w2v,0,0,0,0,2
400_1090,lr_w2v,1,0.96875,1,0.984126984,62
400_1090,lr_w2v,accuracy,0.96875,0.96875,0.96875,0.96875
400_1090,lr_w2v,macro avg,0.484375,0.5,0.492063492,64
400_1090,lr_w2v,weighted avg,0.938476563,0.96875,0.953373016,64
400_2080,lr_tfidf,0,0.8,0.4,0.533333333,10
400_2080,lr_tfidf,1,0.898305085,0.981481481,0.938053097,54
400_2080,lr_tfidf,accuracy,0.890625,0.890625,0.890625,0.890625
400_2080,lr_tfidf,macro avg,0.849152542,0.690740741,0.735693215,64
400_2080,lr_tfidf,weighted avg,0.882944915,0.890625,0.874815634,64
400_2080,nb_tfidf,0,1,0.2,0.333333333,10
400_2080,nb_tfidf,1,0.870967742,1,0.931034483,54
400_2080,nb_tfidf,accuracy,0.875,0.875,0.875,0.875
400_2080,nb_tfidf,macro avg,0.935483871,0.6,0.632183908,64
400_2080,nb_tfidf,weighted avg,0.891129032,0.875,0.837643678,64
400_2080,rf_tfidf,0,1,0.2,0.333333333,10
400_2080,rf_tfidf,1,0.870967742,1,0.931034483,54
400_2080,rf_tfidf,accuracy,0.875,0.875,0.875,0.875
400_2080,rf_tfidf,macro avg,0.935483871,0.6,0.632183908,64
400_2080,rf_tfidf,weighted avg,0.891129032,0.875,0.837643678,64
400_2080,dt_tfidf,0,0.333333333,0.5,0.4,10
400_2080,dt_tfidf,1,0.897959184,0.814814815,0.854368932,54
400_2080,dt_tfidf,accuracy,0.765625,0.765625,0.765625,0.765625
400_2080,dt_tfidf,macro avg,0.615646259,0.657407407,0.627184466,64
400_2080,dt_tfidf,weighted avg,0.809736395,0.765625,0.783373786,64
400_2080,svc_tfidf,0,1,0.2,0.333333333,10
400_2080,svc_tfidf,1,0.870967742,1,0.931034483,54
400_2080,svc_tfidf,accuracy,0.875,0.875,0.875,0.875
400_2080,svc_tfidf,macro avg,0.935483871,0.6,0.632183908,64
400_2080,svc_tfidf,weighted avg,0.891129032,0.875,0.837643678,64
400_2080,lsvc_tfidf,0,0.777777778,0.7,0.736842105,10
400_2080,lsvc_tfidf,1,0.945454545,0.962962963,0.95412844,54
400_2080,lsvc_tfidf,accuracy,0.921875,0.921875,0.921875,0.921875
400_2080,lsvc_tfidf,macro avg,0.861616162,0.831481481,0.845485273,64
400_2080,lsvc_tfidf,weighted avg,0.919255051,0.921875,0.920177451,64
400_2080,sgd_tfidf,0,0.571428571,0.8,0.666666667,10
400_2080,sgd_tfidf,1,0.96,0.888888889,0.923076923,54
400_2080,sgd_tfidf,accuracy,0.875,0.875,0.875,0.875
400_2080,sgd_tfidf,macro avg,0.765714286,0.844444444,0.794871795,64
400_2080,sgd_tfidf,weighted avg,0.899285714,0.875,0.883012821,64
400_2080,knn_tfidf,0,0.545454545,0.6,0.571428571,10
400_2080,knn_tfidf,1,0.924528302,0.907407407,0.91588785,54
400_2080,knn_tfidf,accuracy,0.859375,0.859375,0.859375,0.859375
400_2080,knn_tfidf,macro avg,0.734991424,0.753703704,0.743658211,64
400_2080,knn_tfidf,weighted avg,0.865298027,0.859375,0.862066088,64
400_2080,lr_w2v,0,0,0,0,10
400_2080,lr_w2v,1,0.84375,1,0.915254237,54
400_2080,lr_w2v,accuracy,0.84375,0.84375,0.84375,0.84375
400_2080,lr_w2v,macro avg,0.421875,0.5,0.457627119,64
400_2080,lr_w2v,weighted avg,0.711914063,0.84375,0.772245763,64
400_3070,lr_tfidf,0,0.8,0.235294118,0.363636364,17
400_3070,lr_tfidf,1,0.779661017,0.978723404,0.867924528,47
400_3070,lr_tfidf,accuracy,0.78125,0.78125,0.78125,0.78125
400_3070,lr_tfidf,macro avg,0.789830508,0.607008761,0.615780446,64
400_3070,lr_tfidf,weighted avg,0.785063559,0.78125,0.733972985,64
400_3070,nb_tfidf,0,0,0,0,17
400_3070,nb_tfidf,1,0.734375,1,0.846846847,47
400_3070,nb_tfidf,accuracy,0.734375,0.734375,0.734375,0.734375
400_3070,nb_tfidf,macro avg,0.3671875,0.5,0.423423423,64
400_3070,nb_tfidf,weighted avg,0.539306641,0.734375,0.621903153,64
400_3070,rf_tfidf,0,0,0,0,17
400_3070,rf_tfidf,1,0.734375,1,0.846846847,47
400_3070,rf_tfidf,accuracy,0.734375,0.734375,0.734375,0.734375
400_3070,rf_tfidf,macro avg,0.3671875,0.5,0.423423423,64
400_3070,rf_tfidf,weighted avg,0.539306641,0.734375,0.621903153,64
400_3070,dt_tfidf,0,0.444444444,0.235294118,0.307692308,17
400_3070,dt_tfidf,1,0.763636364,0.893617021,0.823529412,47
400_3070,dt_tfidf,accuracy,0.71875,0.71875,0.71875,0.71875
400_3070,dt_tfidf,macro avg,0.604040404,0.564455569,0.56561086,64
400_3070,dt_tfidf,weighted avg,0.67885101,0.71875,0.686510181,64
400_3070,svc_tfidf,0,1,0.117647059,0.210526316,17
400_3070,svc_tfidf,1,0.758064516,1,0.862385321,47
400_3070,svc_tfidf,accuracy,0.765625,0.765625,0.765625,0.765625
400_3070,svc_tfidf,macro avg,0.879032258,0.558823529,0.536455818,64
400_3070,svc_tfidf,weighted avg,0.822328629,0.765625,0.689235273,64
400_3070,lsvc_tfidf,0,0.571428571,0.235294118,0.333333333,17
400_3070,lsvc_tfidf,1,0.771929825,0.936170213,0.846153846,47
400_3070,lsvc_tfidf,accuracy,0.75,0.75,0.75,0.75
400_3070,lsvc_tfidf,macro avg,0.671679198,0.585732165,0.58974359,64
400_3070,lsvc_tfidf,weighted avg,0.718671679,0.75,0.709935897,64
400_3070,sgd_tfidf,0,0.375,0.176470588,0.24,17
400_3070,sgd_tfidf,1,0.75,0.893617021,0.815533981,47
400_3070,sgd_tfidf,accuracy,0.703125,0.703125,0.703125,0.703125
400_3070,sgd_tfidf,macro avg,0.5625,0.535043805,0.52776699,64
400_3070,sgd_tfidf,weighted avg,0.650390625,0.703125,0.662657767,64
400_3070,knn_tfidf,0,0.428571429,0.352941176,0.387096774,17
400_3070,knn_tfidf,1,0.78,0.829787234,0.804123711,47
400_3070,knn_tfidf,accuracy,0.703125,0.703125,0.703125,0.703125
400_3070,knn_tfidf,macro avg,0.604285714,0.591364205,0.595610243,64
400_3070,knn_tfidf,weighted avg,0.686651786,0.703125,0.693350931,64
400_3070,lr_w2v,0,0.5,0.176470588,0.260869565,17
400_3070,lr_w2v,1,0.75862069,0.936170213,0.838095238,47
400_3070,lr_w2v,accuracy,0.734375,0.734375,0.734375,0.734375
400_3070,lr_w2v,macro avg,0.629310345,0.556320401,0.549482402,64
400_3070,lr_w2v,weighted avg,0.689924569,0.734375,0.684769669,64
400_4060,lr_tfidf,0,0.523809524,0.523809524,0.523809524,21
400_4060,lr_tfidf,1,0.76744186,0.76744186,0.76744186,43
400_4060,lr_tfidf,accuracy,0.6875,0.6875,0.6875,0.6875
400_4060,lr_tfidf,macro avg,0.645625692,0.645625692,0.645625692,64
400_4060,lr_tfidf,weighted avg,0.6875,0.6875,0.6875,64
400_4060,nb_tfidf,0,0.875,0.333333333,0.482758621,21
400_4060,nb_tfidf,1,0.75,0.976744186,0.848484848,43
400_4060,nb_tfidf,accuracy,0.765625,0.765625,0.765625,0.765625
400_4060,nb_tfidf,macro avg,0.8125,0.65503876,0.665621735,64
400_4060,nb_tfidf,weighted avg,0.791015625,0.765625,0.72848093,64
400_4060,rf_tfidf,0,0.777777778,0.333333333,0.466666667,21
400_4060,rf_tfidf,1,0.745454545,0.953488372,0.836734694,43
400_4060,rf_tfidf,accuracy,0.75,0.75,0.75,0.75
400_4060,rf_tfidf,macro avg,0.761616162,0.643410853,0.65170068,64
400_4060,rf_tfidf,weighted avg,0.756060606,0.75,0.715306122,64
400_4060,dt_tfidf,0,0.608695652,0.666666667,0.636363636,21
400_4060,dt_tfidf,1,0.829268293,0.790697674,0.80952381,43
400_4060,dt_tfidf,accuracy,0.75,0.75,0.75,0.75
400_4060,dt_tfidf,macro avg,0.718981972,0.728682171,0.722943723,64
400_4060,dt_tfidf,weighted avg,0.756892895,0.75,0.752705628,64
400_4060,svc_tfidf,0,0.666666667,0.476190476,0.555555556,21
400_4060,svc_tfidf,1,0.775510204,0.88372093,0.826086957,43
400_4060,svc_tfidf,accuracy,0.75,0.75,0.75,0.75
400_4060,svc_tfidf,macro avg,0.721088435,0.679955703,0.690821256,64
400_4060,svc_tfidf,weighted avg,0.739795918,0.75,0.737318841,64
400_4060,lsvc_tfidf,0,0.47826087,0.523809524,0.5,21
400_4060,lsvc_tfidf,1,0.756097561,0.720930233,0.738095238,43
400_4060,lsvc_tfidf,accuracy,0.65625,0.65625,0.65625,0.65625
400_4060,lsvc_tfidf,macro avg,0.617179215,0.622369878,0.619047619,64
400_4060,lsvc_tfidf,weighted avg,0.664932397,0.65625,0.659970238,64
400_4060,sgd_tfidf,0,0.5,0.571428571,0.533333333,21
400_4060,sgd_tfidf,1,0.775,0.720930233,0.746987952,43
400_4060,sgd_tfidf,accuracy,0.671875,0.671875,0.671875,0.671875
400_4060,sgd_tfidf,macro avg,0.6375,0.646179402,0.640160643,64
400_4060,sgd_tfidf,weighted avg,0.684765625,0.671875,0.67688253,64
400_4060,knn_tfidf,0,0.541666667,0.619047619,0.577777778,21
400_4060,knn_tfidf,1,0.8,0.744186047,0.771084337,43
