sample size and proportion,classifier,metric,val
200_4060,svc_tfidf,std,0.104307899
200_4060,lsvc_tfidf,f1_mean,0.584571726
200_4060,lsvc_tfidf,ci_lower,0.398364234
200_4060,lsvc_tfidf,ci_upper,0.781621595
200_4060,lsvc_tfidf,std,0.096391009
200_4060,sgd_tfidf,f1_mean,0.618169688
200_4060,sgd_tfidf,ci_lower,0.432010889
200_4060,sgd_tfidf,ci_upper,0.781282075
200_4060,sgd_tfidf,std,0.090694389
200_4060,knn_tfidf,f1_mean,0.54465173
200_4060,knn_tfidf,ci_lower,0.371139706
200_4060,knn_tfidf,ci_upper,0.73512987
200_4060,knn_tfidf,std,0.092025584
200_5050,lr_tfidf,f1_mean,0.527829711
200_5050,lr_tfidf,ci_lower,0.353819055
200_5050,lr_tfidf,ci_upper,0.714561976
200_5050,lr_tfidf,std,0.089321004
200_5050,nb_tfidf,f1_mean,0.621990046
200_5050,nb_tfidf,ci_lower,0.468724035
200_5050,nb_tfidf,ci_upper,0.782340543
200_5050,nb_tfidf,std,0.08262706
200_5050,rf_tfidf,f1_mean,0.34805702
200_5050,rf_tfidf,ci_lower,0.162564103
200_5050,rf_tfidf,ci_upper,0.553585101
200_5050,rf_tfidf,std,0.100298324
200_5050,dt_tfidf,f1_mean,0.529246052
200_5050,dt_tfidf,ci_lower,0.350198413
200_5050,dt_tfidf,ci_upper,0.6875
200_5050,dt_tfidf,std,0.087222138
200_5050,svc_tfidf,f1_mean,0.481518236
200_5050,svc_tfidf,ci_lower,0.299984543
200_5050,svc_tfidf,ci_upper,0.67734375
200_5050,svc_tfidf,std,0.095405181
200_5050,lsvc_tfidf,f1_mean,0.48858133
200_5050,lsvc_tfidf,ci_lower,0.319253555
200_5050,lsvc_tfidf,ci_upper,0.651989711
200_5050,lsvc_tfidf,std,0.087803963
200_5050,sgd_tfidf,f1_mean,0.594306009
200_5050,sgd_tfidf,ci_lower,0.424146805
200_5050,sgd_tfidf,ci_upper,0.743990385
200_5050,sgd_tfidf,std,0.084537688
200_5050,knn_tfidf,f1_mean,0.572576971
200_5050,knn_tfidf,ci_lower,0.3934883
200_5050,knn_tfidf,ci_upper,0.7219542
200_5050,knn_tfidf,std,0.086654435
400_1090,lr_tfidf,f1_mean,0.888819447
400_1090,lr_tfidf,ci_lower,0.794380252
400_1090,lr_tfidf,ci_upper,0.976624016
400_1090,lr_tfidf,std,0.048649941
400_1090,nb_tfidf,f1_mean,0.879093101
400_1090,nb_tfidf,ci_lower,0.772245763
400_1090,nb_tfidf,ci_upper,0.953373016
400_1090,nb_tfidf,std,0.050008219
400_1090,rf_tfidf,f1_mean,0.885644981
400_1090,rf_tfidf,ci_lower,0.794380252
400_1090,rf_tfidf,ci_upper,0.976624016
400_1090,rf_tfidf,std,0.046332495
400_1090,dt_tfidf,f1_mean,0.893177027
400_1090,dt_tfidf,ci_lower,0.803281711
400_1090,dt_tfidf,ci_upper,0.96875
400_1090,dt_tfidf,std,0.042922152
400_1090,svc_tfidf,f1_mean,0.887601884
400_1090,svc_tfidf,ci_lower,0.794380252
400_1090,svc_tfidf,ci_upper,0.976624016
400_1090,svc_tfidf,std,0.046086309
400_1090,lsvc_tfidf,f1_mean,0.884058622
400_1090,lsvc_tfidf,ci_lower,0.772245763
400_1090,lsvc_tfidf,ci_upper,0.976624016
400_1090,lsvc_tfidf,std,0.050448469
400_1090,sgd_tfidf,f1_mean,0.866836073
400_1090,sgd_tfidf,ci_lower,0.756465517
400_1090,sgd_tfidf,ci_upper,0.960084807
400_1090,sgd_tfidf,std,0.052200198
400_1090,knn_tfidf,f1_mean,0.904868803
400_1090,knn_tfidf,ci_lower,0.81254902
400_1090,knn_tfidf,ci_upper,0.982615668
400_1090,knn_tfidf,std,0.044170045
400_2080,lr_tfidf,f1_mean,0.729040681
400_2080,lr_tfidf,ci_lower,0.595182466
400_2080,lr_tfidf,ci_upper,0.868491888
400_2080,lr_tfidf,std,0.070014463
400_2080,nb_tfidf,f1_mean,0.72604786
400_2080,nb_tfidf,ci_lower,0.595182466
400_2080,nb_tfidf,ci_upper,0.853270202
400_2080,nb_tfidf,std,0.070763836
400_2080,rf_tfidf,f1_mean,0.726046765
400_2080,rf_tfidf,ci_lower,0.580561927
400_2080,rf_tfidf,ci_upper,0.84983806
400_2080,rf_tfidf,std,0.069024113
400_2080,dt_tfidf,f1_mean,0.7327939
400_2080,dt_tfidf,ci_lower,0.618212366
400_2080,dt_tfidf,ci_upper,0.838121784
400_2080,dt_tfidf,std,0.059500016
400_2080,svc_tfidf,f1_mean,0.732806259
400_2080,svc_tfidf,ci_lower,0.580561927
400_2080,svc_tfidf,ci_upper,0.859095765
400_2080,svc_tfidf,std,0.071478603
400_2080,lsvc_tfidf,f1_mean,0.729658606
400_2080,lsvc_tfidf,ci_lower,0.574935678
400_2080,lsvc_tfidf,ci_upper,0.859095765
400_2080,lsvc_tfidf,std,0.073076217
400_2080,sgd_tfidf,f1_mean,0.727426931
400_2080,sgd_tfidf,ci_lower,0.591065037
400_2080,sgd_tfidf,ci_upper,0.859095765
400_2080,sgd_tfidf,std,0.069585044
400_2080,knn_tfidf,f1_mean,0.729731108
400_2080,knn_tfidf,ci_lower,0.606544838
400_2080,knn_tfidf,ci_upper,0.85933584
400_2080,knn_tfidf,std,0.066275323
400_3070,lr_tfidf,f1_mean,0.739036163
400_3070,lr_tfidf,ci_lower,0.602162087
400_3070,lr_tfidf,ci_upper,0.868491888
400_3070,lr_tfidf,std,0.066628172
400_3070,nb_tfidf,f1_mean,0.725875265
400_3070,nb_tfidf,ci_lower,0.58378139
400_3070,nb_tfidf,ci_upper,0.859095765
400_3070,nb_tfidf,std,0.071974795
400_3070,rf_tfidf,f1_mean,0.666687528
400_3070,rf_tfidf,ci_lower,0.529530313
400_3070,rf_tfidf,ci_upper,0.794380252
400_3070,rf_tfidf,std,0.067863525
400_3070,dt_tfidf,f1_mean,0.73922324
400_3070,dt_tfidf,ci_lower,0.612095667
400_3070,dt_tfidf,ci_upper,0.846798044
400_3070,dt_tfidf,std,0.060348713
400_3070,svc_tfidf,f1_mean,0.732528801
400_3070,svc_tfidf,ci_lower,0.595182466
400_3070,svc_tfidf,ci_upper,0.864506689
400_3070,svc_tfidf,std,0.069777198
400_3070,lsvc_tfidf,f1_mean,0.733556029
400_3070,lsvc_tfidf,ci_lower,0.590708276
400_3070,lsvc_tfidf,ci_upper,0.851238247
400_3070,lsvc_tfidf,std,0.064836422
400_3070,sgd_tfidf,f1_mean,0.729336878
400_3070,sgd_tfidf,ci_lower,0.606534071
400_3070,sgd_tfidf,ci_upper,0.836251564
400_3070,sgd_tfidf,std,0.058921049
400_3070,knn_tfidf,f1_mean,0.675917413
400_3070,knn_tfidf,ci_lower,0.539733381
400_3070,knn_tfidf,ci_upper,0.80910829
400_3070,knn_tfidf,std,0.067960111
400_4060,lr_tfidf,f1_mean,0.614802391
400_4060,lr_tfidf,ci_lower,0.462119598
400_4060,lr_tfidf,ci_upper,0.760871597
