sample size and proportion,classifier,metric,precision,recall,f1-score,support
200_3070,rf_tfidf,macro avg,0.403225806,0.480769231,0.438596491,32
200_3070,rf_tfidf,weighted avg,0.655241935,0.78125,0.712719298,32
200_3070,dt_tfidf,0,0.083333333,0.166666667,0.111111111,6
200_3070,dt_tfidf,1,0.75,0.576923077,0.652173913,26
200_3070,dt_tfidf,accuracy,0.5,0.5,0.5,0.5
200_3070,dt_tfidf,macro avg,0.416666667,0.371794872,0.381642512,32
200_3070,dt_tfidf,weighted avg,0.625,0.5,0.550724638,32
200_3070,svc_tfidf,0,0,0,0,6
200_3070,svc_tfidf,1,0.8125,1,0.896551724,26
200_3070,svc_tfidf,accuracy,0.8125,0.8125,0.8125,0.8125
200_3070,svc_tfidf,macro avg,0.40625,0.5,0.448275862,32
200_3070,svc_tfidf,weighted avg,0.66015625,0.8125,0.728448276,32
200_3070,lsvc_tfidf,0,0,0,0,6
200_3070,lsvc_tfidf,1,0.777777778,0.807692308,0.79245283,26
200_3070,lsvc_tfidf,accuracy,0.65625,0.65625,0.65625,0.65625
200_3070,lsvc_tfidf,macro avg,0.388888889,0.403846154,0.396226415,32
200_3070,lsvc_tfidf,weighted avg,0.631944444,0.65625,0.643867925,32
200_3070,sgd_tfidf,0,0.125,0.166666667,0.142857143,6
200_3070,sgd_tfidf,1,0.791666667,0.730769231,0.76,26
200_3070,sgd_tfidf,accuracy,0.625,0.625,0.625,0.625
200_3070,sgd_tfidf,macro avg,0.458333333,0.448717949,0.451428571,32
200_3070,sgd_tfidf,weighted avg,0.666666667,0.625,0.644285714,32
200_3070,knn_tfidf,0,0.142857143,0.166666667,0.153846154,6
200_3070,knn_tfidf,1,0.8,0.769230769,0.784313725,26
200_3070,knn_tfidf,accuracy,0.65625,0.65625,0.65625,0.65625
200_3070,knn_tfidf,macro avg,0.471428571,0.467948718,0.46907994,32
200_3070,knn_tfidf,weighted avg,0.676785714,0.65625,0.666101056,32
200_3070,lr_w2v,0,0,0,0,6
200_3070,lr_w2v,1,0.8125,1,0.896551724,26
200_3070,lr_w2v,accuracy,0.8125,0.8125,0.8125,0.8125
200_3070,lr_w2v,macro avg,0.40625,0.5,0.448275862,32
200_3070,lr_w2v,weighted avg,0.66015625,0.8125,0.728448276,32
200_4060,lr_tfidf,0,0.833333333,0.3125,0.454545455,16
200_4060,lr_tfidf,1,0.576923077,0.9375,0.714285714,16
200_4060,lr_tfidf,accuracy,0.625,0.625,0.625,0.625
200_4060,lr_tfidf,macro avg,0.705128205,0.625,0.584415584,32
200_4060,lr_tfidf,weighted avg,0.705128205,0.625,0.584415584,32
200_4060,nb_tfidf,0,1,0.3125,0.476190476,16
200_4060,nb_tfidf,1,0.592592593,1,0.744186047,16
200_4060,nb_tfidf,accuracy,0.65625,0.65625,0.65625,0.65625
200_4060,nb_tfidf,macro avg,0.796296296,0.65625,0.610188261,32
200_4060,nb_tfidf,weighted avg,0.796296296,0.65625,0.610188261,32
200_4060,rf_tfidf,0,1,0.0625,0.117647059,16
200_4060,rf_tfidf,1,0.516129032,1,0.680851064,16
200_4060,rf_tfidf,accuracy,0.53125,0.53125,0.53125,0.53125
200_4060,rf_tfidf,macro avg,0.758064516,0.53125,0.399249061,32
200_4060,rf_tfidf,weighted avg,0.758064516,0.53125,0.399249061,32
200_4060,dt_tfidf,0,0.454545455,0.3125,0.37037037,16
200_4060,dt_tfidf,1,0.476190476,0.625,0.540540541,16
200_4060,dt_tfidf,accuracy,0.46875,0.46875,0.46875,0.46875
200_4060,dt_tfidf,macro avg,0.465367965,0.46875,0.455455455,32
200_4060,dt_tfidf,weighted avg,0.465367965,0.46875,0.455455455,32
200_4060,svc_tfidf,0,1,0.25,0.4,16
200_4060,svc_tfidf,1,0.571428571,1,0.727272727,16
200_4060,svc_tfidf,accuracy,0.625,0.625,0.625,0.625
200_4060,svc_tfidf,macro avg,0.785714286,0.625,0.563636364,32
200_4060,svc_tfidf,weighted avg,0.785714286,0.625,0.563636364,32
200_4060,lsvc_tfidf,0,0.833333333,0.3125,0.454545455,16
200_4060,lsvc_tfidf,1,0.576923077,0.9375,0.714285714,16
200_4060,lsvc_tfidf,accuracy,0.625,0.625,0.625,0.625
200_4060,lsvc_tfidf,macro avg,0.705128205,0.625,0.584415584,32
200_4060,lsvc_tfidf,weighted avg,0.705128205,0.625,0.584415584,32
200_4060,sgd_tfidf,0,0.7,0.4375,0.538461538,16
200_4060,sgd_tfidf,1,0.590909091,0.8125,0.684210526,16
200_4060,sgd_tfidf,accuracy,0.625,0.625,0.625,0.625
200_4060,sgd_tfidf,macro avg,0.645454545,0.625,0.611336032,32
200_4060,sgd_tfidf,weighted avg,0.645454545,0.625,0.611336032,32
200_4060,knn_tfidf,0,0.6,0.375,0.461538462,16
200_4060,knn_tfidf,1,0.545454545,0.75,0.631578947,16
200_4060,knn_tfidf,accuracy,0.5625,0.5625,0.5625,0.5625
200_4060,knn_tfidf,macro avg,0.572727273,0.5625,0.546558704,32
200_4060,knn_tfidf,weighted avg,0.572727273,0.5625,0.546558704,32
200_4060,lr_w2v,0,1,0.125,0.222222222,16
200_4060,lr_w2v,1,0.533333333,1,0.695652174,16
200_4060,lr_w2v,accuracy,0.5625,0.5625,0.5625,0.5625
200_4060,lr_w2v,macro avg,0.766666667,0.5625,0.458937198,32
200_4060,lr_w2v,weighted avg,0.766666667,0.5625,0.458937198,32
200_5050,lr_tfidf,0,0.45,0.692307692,0.545454545,13
200_5050,lr_tfidf,1,0.666666667,0.421052632,0.516129032,19
200_5050,lr_tfidf,accuracy,0.53125,0.53125,0.53125,0.53125
200_5050,lr_tfidf,macro avg,0.558333333,0.556680162,0.530791789,32
200_5050,lr_tfidf,weighted avg,0.578645833,0.53125,0.528042522,32
200_5050,nb_tfidf,0,0.529411765,0.692307692,0.6,13
200_5050,nb_tfidf,1,0.733333333,0.578947368,0.647058824,19
200_5050,nb_tfidf,accuracy,0.625,0.625,0.625,0.625
200_5050,nb_tfidf,macro avg,0.631372549,0.63562753,0.623529412,32
200_5050,nb_tfidf,weighted avg,0.650490196,0.625,0.627941176,32
200_5050,rf_tfidf,0,0.413793103,0.923076923,0.571428571,13
200_5050,rf_tfidf,1,0.666666667,0.105263158,0.181818182,19
200_5050,rf_tfidf,accuracy,0.4375,0.4375,0.4375,0.4375
200_5050,rf_tfidf,macro avg,0.540229885,0.51417004,0.376623377,32
200_5050,rf_tfidf,weighted avg,0.563936782,0.4375,0.340097403,32
200_5050,dt_tfidf,0,0.444444444,0.615384615,0.516129032,13
200_5050,dt_tfidf,1,0.642857143,0.473684211,0.545454545,19
200_5050,dt_tfidf,accuracy,0.53125,0.53125,0.53125,0.53125
200_5050,dt_tfidf,macro avg,0.543650794,0.544534413,0.530791789,32
200_5050,dt_tfidf,weighted avg,0.562251984,0.53125,0.533541056,32
200_5050,svc_tfidf,0,0.434782609,0.769230769,0.555555556,13
200_5050,svc_tfidf,1,0.666666667,0.315789474,0.428571429,19
200_5050,svc_tfidf,accuracy,0.5,0.5,0.5,0.5
200_5050,svc_tfidf,macro avg,0.550724638,0.542510121,0.492063492,32
200_5050,svc_tfidf,weighted avg,0.572463768,0.5,0.48015873,32
200_5050,lsvc_tfidf,0,0.428571429,0.692307692,0.529411765,13
200_5050,lsvc_tfidf,1,0.636363636,0.368421053,0.466666667,19
200_5050,lsvc_tfidf,accuracy,0.5,0.5,0.5,0.5
200_5050,lsvc_tfidf,macro avg,0.532467532,0.530364372,0.498039216,32
200_5050,lsvc_tfidf,weighted avg,0.551948052,0.5,0.492156863,32
200_5050,sgd_tfidf,0,0.5,0.769230769,0.606060606,13
200_5050,sgd_tfidf,1,0.75,0.473684211,0.580645161,19
200_5050,sgd_tfidf,accuracy,0.59375,0.59375,0.59375,0.59375
200_5050,sgd_tfidf,macro avg,0.625,0.62145749,0.593352884,32
200_5050,sgd_tfidf,weighted avg,0.6484375,0.59375,0.590970186,32
200_5050,knn_tfidf,0,0.466666667,0.538461538,0.5,13
200_5050,knn_tfidf,1,0.647058824,0.578947368,0.611111111,19
200_5050,knn_tfidf,accuracy,0.5625,0.5625,0.5625,0.5625
200_5050,knn_tfidf,macro avg,0.556862745,0.558704453,0.555555556,32
200_5050,knn_tfidf,weighted avg,0.57377451,0.5625,0.565972222,32
200_5050,lr_w2v,0,0.428571429,0.923076923,0.585365854,13
200_5050,lr_w2v,1,0.75,0.157894737,0.260869565,19
200_5050,lr_w2v,accuracy,0.46875,0.46875,0.46875,0.46875
200_5050,lr_w2v,macro avg,0.589285714,0.54048583,0.423117709,32
200_5050,lr_w2v,weighted avg,0.619419643,0.46875,0.392696182,32
400_1090,lr_tfidf,0,0,0,0,5
400_1090,lr_tfidf,1,0.921875,1,0.959349593,59
400_1090,lr_tfidf,accuracy,0.921875,0.921875,0.921875,0.921875
400_1090,lr_tfidf,macro avg,0.4609375,0.5,0.479674797,64
400_1090,lr_tfidf,weighted avg,0.849853516,0.921875,0.884400407,64
400_1090,nb_tfidf,0,0,0,0,5
400_1090,nb_tfidf,1,0.921875,1,0.959349593,59
400_1090,nb_tfidf,accuracy,0.921875,0.921875,0.921875,0.921875
400_1090,nb_tfidf,macro avg,0.4609375,0.5,0.479674797,64
400_1090,nb_tfidf,weighted avg,0.849853516,0.921875,0.884400407,64
400_1090,rf_tfidf,0,0,0,0,5
400_1090,rf_tfidf,1,0.921875,1,0.959349593,59
400_1090,rf_tfidf,accuracy,0.921875,0.921875,0.921875,0.921875
400_1090,rf_tfidf,macro avg,0.4609375,0.5,0.479674797,64
400_1090,rf_tfidf,weighted avg,0.849853516,0.921875,0.884400407,64
400_1090,dt_tfidf,0,0.333333333,0.2,0.25,5
400_1090,dt_tfidf,1,0.93442623,0.966101695,0.95,59
400_1090,dt_tfidf,accuracy,0.90625,0.90625,0.90625,0.90625
400_1090,dt_tfidf,macro avg,0.633879781,0.583050847,0.6,64
400_1090,dt_tfidf,weighted avg,0.887465847,0.90625,0.8953125,64
400_1090,svc_tfidf,0,0,0,0,5
400_1090,svc_tfidf,1,0.921875,1,0.959349593,59
400_1090,svc_tfidf,accuracy,0.921875,0.921875,0.921875,0.921875
400_1090,svc_tfidf,macro avg,0.4609375,0.5,0.479674797,64
400_1090,svc_tfidf,weighted avg,0.849853516,0.921875,0.884400407,64
400_1090,lsvc_tfidf,0,0,0,0,5
400_1090,lsvc_tfidf,1,0.921875,1,0.959349593,59
400_1090,lsvc_tfidf,accuracy,0.921875,0.921875,0.921875,0.921875
400_1090,lsvc_tfidf,macro avg,0.4609375,0.5,0.479674797,64
400_1090,lsvc_tfidf,weighted avg,0.849853516,0.921875,0.884400407,64
400_1090,sgd_tfidf,0,0,0,0,5
400_1090,sgd_tfidf,1,0.919354839,0.966101695,0.94214876,59
400_1090,sgd_tfidf,accuracy,0.890625,0.890625,0.890625,0.890625
400_1090,sgd_tfidf,macro avg,0.459677419,0.483050847,0.47107438,64
400_1090,sgd_tfidf,weighted avg,0.847530242,0.890625,0.868543388,64
400_1090,knn_tfidf,0,0.5,0.2,0.285714286,5
400_1090,knn_tfidf,1,0.935483871,0.983050847,0.958677686,59
400_1090,knn_tfidf,accuracy,0.921875,0.921875,0.921875,0.921875
400_1090,knn_tfidf,macro avg,0.717741935,0.591525424,0.622195986,64
400_1090,knn_tfidf,weighted avg,0.901461694,0.921875,0.90610242,64
400_1090,lr_w2v,0,0,0,0,5
400_1090,lr_w2v,1,0.921875,1,0.959349593,59
400_1090,lr_w2v,accuracy,0.921875,0.921875,0.921875,0.921875
400_1090,lr_w2v,macro avg,0.4609375,0.5,0.479674797,64
400_1090,lr_w2v,weighted avg,0.849853516,0.921875,0.884400407,64
400_2080,lr_tfidf,0,1,0.133333333,0.235294118,15
400_2080,lr_tfidf,1,0.790322581,1,0.882882883,49
400_2080,lr_tfidf,accuracy,0.796875,0.796875,0.796875,0.796875
400_2080,lr_tfidf,macro avg,0.89516129,0.566666667,0.5590885,64
400_2080,lr_tfidf,weighted avg,0.839465726,0.796875,0.731104266,64
400_2080,nb_tfidf,0,1,0.133333333,0.235294118,15
400_2080,nb_tfidf,1,0.790322581,1,0.882882883,49
400_2080,nb_tfidf,accuracy,0.796875,0.796875,0.796875,0.796875
400_2080,nb_tfidf,macro avg,0.89516129,0.566666667,0.5590885,64
400_2080,nb_tfidf,weighted avg,0.839465726,0.796875,0.731104266,64
400_2080,rf_tfidf,0,1,0.133333333,0.235294118,15
400_2080,rf_tfidf,1,0.790322581,1,0.882882883,49
400_2080,rf_tfidf,accuracy,0.796875,0.796875,0.796875,0.796875
400_2080,rf_tfidf,macro avg,0.89516129,0.566666667,0.5590885,64
400_2080,rf_tfidf,weighted avg,0.839465726,0.796875,0.731104266,64
400_2080,dt_tfidf,0,0.454545455,0.333333333,0.384615385,15
400_2080,dt_tfidf,1,0.811320755,0.87755102,0.843137255,49
400_2080,dt_tfidf,accuracy,0.75,0.75,0.75,0.75
400_2080,dt_tfidf,macro avg,0.632933105,0.605442177,0.61387632,64
400_2080,dt_tfidf,weighted avg,0.727701544,0.75,0.735671192,64
400_2080,svc_tfidf,0,1,0.133333333,0.235294118,15
400_2080,svc_tfidf,1,0.790322581,1,0.882882883,49
400_2080,svc_tfidf,accuracy,0.796875,0.796875,0.796875,0.796875
400_2080,svc_tfidf,macro avg,0.89516129,0.566666667,0.5590885,64
400_2080,svc_tfidf,weighted avg,0.839465726,0.796875,0.731104266,64
400_2080,lsvc_tfidf,0,1,0.133333333,0.235294118,15
400_2080,lsvc_tfidf,1,0.790322581,1,0.882882883,49
400_2080,lsvc_tfidf,accuracy,0.796875,0.796875,0.796875,0.796875
400_2080,lsvc_tfidf,macro avg,0.89516129,0.566666667,0.5590885,64
400_2080,lsvc_tfidf,weighted avg,0.839465726,0.796875,0.731104266,64
400_2080,sgd_tfidf,0,1,0.133333333,0.235294118,15
400_2080,sgd_tfidf,1,0.790322581,1,0.882882883,49
400_2080,sgd_tfidf,accuracy,0.796875,0.796875,0.796875,0.796875
400_2080,sgd_tfidf,macro avg,0.89516129,0.566666667,0.5590885,64
400_2080,sgd_tfidf,weighted avg,0.839465726,0.796875,0.731104266,64
400_2080,knn_tfidf,0,0.6,0.2,0.3,15
400_2080,knn_tfidf,1,0.796610169,0.959183673,0.87037037,49
400_2080,knn_tfidf,accuracy,0.78125,0.78125,0.78125,0.78125
400_2080,knn_tfidf,macro avg,0.698305085,0.579591837,0.585185185,64
400_2080,knn_tfidf,weighted avg,0.750529661,0.78125,0.736689815,64
400_2080,lr_w2v,0,0,0,0,15
400_2080,lr_w2v,1,0.765625,1,0.867256637,49
400_2080,lr_w2v,accuracy,0.765625,0.765625,0.765625,0.765625
400_2080,lr_w2v,macro avg,0.3828125,0.5,0.433628319,64
400_2080,lr_w2v,weighted avg,0.586181641,0.765625,0.663993363,64
400_3070,lr_tfidf,0,0.6,0.2,0.3,15
400_3070,lr_tfidf,1,0.796610169,0.959183673,0.87037037,49
400_3070,lr_tfidf,accuracy,0.78125,0.78125,0.78125,0.78125
400_3070,lr_tfidf,macro avg,0.698305085,0.579591837,0.585185185,64
400_3070,lr_tfidf,weighted avg,0.750529661,0.78125,0.736689815,64
400_3070,nb_tfidf,0,1,0.133333333,0.235294118,15
400_3070,nb_tfidf,1,0.790322581,1,0.882882883,49
400_3070,nb_tfidf,accuracy,0.796875,0.796875,0.796875,0.796875
400_3070,nb_tfidf,macro avg,0.89516129,0.566666667,0.5590885,64
400_3070,nb_tfidf,weighted avg,0.839465726,0.796875,0.731104266,64
400_3070,rf_tfidf,0,0,0,0,15
400_3070,rf_tfidf,1,0.765625,1,0.867256637,49
400_3070,rf_tfidf,accuracy,0.765625,0.765625,0.765625,0.765625
400_3070,rf_tfidf,macro avg,0.3828125,0.5,0.433628319,64
400_3070,rf_tfidf,weighted avg,0.586181641,0.765625,0.663993363,64
400_3070,dt_tfidf,0,0.4375,0.466666667,0.451612903,15
400_3070,dt_tfidf,1,0.833333333,0.816326531,0.824742268,49
400_3070,dt_tfidf,accuracy,0.734375,0.734375,0.734375,0.734375
400_3070,dt_tfidf,macro avg,0.635416667,0.641496599,0.638177586,64
400_3070,dt_tfidf,weighted avg,0.740559896,0.734375,0.737290073,64
400_3070,svc_tfidf,0,1,0.133333333,0.235294118,15
400_3070,svc_tfidf,1,0.790322581,1,0.882882883,49
400_3070,svc_tfidf,accuracy,0.796875,0.796875,0.796875,0.796875
400_3070,svc_tfidf,macro avg,0.89516129,0.566666667,0.5590885,64
400_3070,svc_tfidf,weighted avg,0.839465726,0.796875,0.731104266,64
400_3070,lsvc_tfidf,0,0.6,0.2,0.3,15
400_3070,lsvc_tfidf,1,0.796610169,0.959183673,0.87037037,49
400_3070,lsvc_tfidf,accuracy,0.78125,0.78125,0.78125,0.78125
400_3070,lsvc_tfidf,macro avg,0.698305085,0.579591837,0.585185185,64
400_3070,lsvc_tfidf,weighted avg,0.750529661,0.78125,0.736689815,64
400_3070,sgd_tfidf,0,0.428571429,0.4,0.413793103,15
400_3070,sgd_tfidf,1,0.82,0.836734694,0.828282828,49
400_3070,sgd_tfidf,accuracy,0.734375,0.734375,0.734375,0.734375
400_3070,sgd_tfidf,macro avg,0.624285714,0.618367347,0.621037966,64
400_3070,sgd_tfidf,weighted avg,0.728258929,0.734375,0.731136799,64
400_3070,knn_tfidf,0,0.285714286,0.133333333,0.181818182,15
400_3070,knn_tfidf,1,0.771929825,0.897959184,0.830188679,49
400_3070,knn_tfidf,accuracy,0.71875,0.71875,0.71875,0.71875
400_3070,knn_tfidf,macro avg,0.528822055,0.515646259,0.506003431,64
400_3070,knn_tfidf,weighted avg,0.657973058,0.71875,0.678226844,64
400_3070,lr_w2v,0,0,0,0,15
400_3070,lr_w2v,1,0.765625,1,0.867256637,49
400_3070,lr_w2v,accuracy,0.765625,0.765625,0.765625,0.765625
400_3070,lr_w2v,macro avg,0.3828125,0.5,0.433628319,64
400_3070,lr_w2v,weighted avg,0.586181641,0.765625,0.663993363,64
400_4060,lr_tfidf,0,0.636363636,0.28,0.388888889,25
400_4060,lr_tfidf,1,0.660377358,0.897435897,0.760869565,39
400_4060,lr_tfidf,accuracy,0.65625,0.65625,0.65625,0.65625
400_4060,lr_tfidf,macro avg,0.648370497,0.588717949,0.574879227,64
400_4060,lr_tfidf,weighted avg,0.650996998,0.65625,0.615564614,64
400_4060,nb_tfidf,0,1,0.2,0.333333333,25
400_4060,nb_tfidf,1,0.661016949,1,0.795918367,39
400_4060,nb_tfidf,accuracy,0.6875,0.6875,0.6875,0.6875
400_4060,nb_tfidf,macro avg,0.830508475,0.6,0.56462585,64
400_4060,nb_tfidf,weighted avg,0.793432203,0.6875,0.615221088,64
400_4060,rf_tfidf,0,1,0.12,0.214285714,25
400_4060,rf_tfidf,1,0.639344262,1,0.78,39
400_4060,rf_tfidf,accuracy,0.65625,0.65625,0.65625,0.65625
400_4060,rf_tfidf,macro avg,0.819672131,0.56,0.497142857,64
400_4060,rf_tfidf,weighted avg,0.78022541,0.65625,0.559017857,64
400_4060,dt_tfidf,0,0.35,0.28,0.311111111,25
400_4060,dt_tfidf,1,0.590909091,0.666666667,0.626506024,39
400_4060,dt_tfidf,accuracy,0.515625,0.515625,0.515625,0.515625
400_4060,dt_tfidf,macro avg,0.470454545,0.473333333,0.468808568,64
400_4060,dt_tfidf,weighted avg,0.496803977,0.515625,0.503304886,64
400_4060,svc_tfidf,0,1,0.24,0.387096774,25
400_4060,svc_tfidf,1,0.672413793,1,0.804123711,39
400_4060,svc_tfidf,accuracy,0.703125,0.703125,0.703125,0.703125
400_4060,svc_tfidf,macro avg,0.836206897,0.62,0.595610243,64
400_4060,svc_tfidf,weighted avg,0.800377155,0.703125,0.641222564,64
400_4060,lsvc_tfidf,0,0.666666667,0.32,0.432432432,25
400_4060,lsvc_tfidf,1,0.673076923,0.897435897,0.769230769,39
400_4060,lsvc_tfidf,accuracy,0.671875,0.671875,0.671875,0.671875
400_4060,lsvc_tfidf,macro avg,0.669871795,0.608717949,0.600831601,64
400_4060,lsvc_tfidf,weighted avg,0.670572917,0.671875,0.637668919,64
400_4060,sgd_tfidf,0,0.6,0.36,0.45,25
400_4060,sgd_tfidf,1,0.673469388,0.846153846,0.75,39
400_4060,sgd_tfidf,accuracy,0.65625,0.65625,0.65625,0.65625
400_4060,sgd_tfidf,macro avg,0.636734694,0.603076923,0.6,64
400_4060,sgd_tfidf,weighted avg,0.644770408,0.65625,0.6328125,64
400_4060,knn_tfidf,0,0.448275862,0.52,0.481481481,25
400_4060,knn_tfidf,1,0.657142857,0.58974359,0.621621622,39
400_4060,knn_tfidf,accuracy,0.5625,0.5625,0.5625,0.5625
400_4060,knn_tfidf,macro avg,0.55270936,0.554871795,0.551551552,64
