sample size and proportion,classifier,metric,val
200_4060,svc_tfidf,ci_upper,0.568792517
200_4060,svc_tfidf,std,0.105825923
200_4060,lsvc_tfidf,f1_mean,0.645764685
200_4060,lsvc_tfidf,ci_lower,0.469007156
200_4060,lsvc_tfidf,ci_upper,0.807945344
200_4060,lsvc_tfidf,std,0.088923765
200_4060,sgd_tfidf,f1_mean,0.673053923
200_4060,sgd_tfidf,ci_lower,0.487107843
200_4060,sgd_tfidf,ci_upper,0.84142332
200_4060,sgd_tfidf,std,0.088989375
200_4060,knn_tfidf,f1_mean,0.686365209
200_4060,knn_tfidf,ci_lower,0.528266097
200_4060,knn_tfidf,ci_upper,0.843452163
200_4060,knn_tfidf,std,0.082315541
200_5050,lr_tfidf,f1_mean,0.748394132
200_5050,lr_tfidf,ci_lower,0.613136267
200_5050,lr_tfidf,ci_upper,0.876814904
200_5050,lr_tfidf,std,0.071767851
200_5050,nb_tfidf,f1_mean,0.656968512
200_5050,nb_tfidf,ci_lower,0.481233067
200_5050,nb_tfidf,ci_upper,0.8125
200_5050,nb_tfidf,std,0.083583633
200_5050,rf_tfidf,f1_mean,0.748084024
200_5050,rf_tfidf,ci_lower,0.598078568
200_5050,rf_tfidf,ci_upper,0.878036437
200_5050,rf_tfidf,std,0.076214403
200_5050,dt_tfidf,f1_mean,0.47177571
200_5050,dt_tfidf,ci_lower,0.305557598
200_5050,dt_tfidf,ci_upper,0.657258065
200_5050,dt_tfidf,std,0.092681357
200_5050,svc_tfidf,f1_mean,0.550817643
200_5050,svc_tfidf,ci_lower,0.360949644
200_5050,svc_tfidf,ci_upper,0.720973398
200_5050,svc_tfidf,std,0.094845515
200_5050,lsvc_tfidf,f1_mean,0.751255274
200_5050,lsvc_tfidf,ci_lower,0.607541917
200_5050,lsvc_tfidf,ci_upper,0.905388571
200_5050,lsvc_tfidf,std,0.076164344
200_5050,sgd_tfidf,f1_mean,0.687722312
200_5050,sgd_tfidf,ci_lower,0.526541333
200_5050,sgd_tfidf,ci_upper,0.845010223
200_5050,sgd_tfidf,std,0.080151779
200_5050,knn_tfidf,f1_mean,0.580135607
200_5050,knn_tfidf,ci_lower,0.413267514
200_5050,knn_tfidf,ci_upper,0.751544118
200_5050,knn_tfidf,std,0.088453211
400_1090,lr_tfidf,f1_mean,0.952568364
400_1090,lr_tfidf,ci_lower,0.884400407
400_1090,lr_tfidf,ci_upper,1
400_1090,lr_tfidf,std,0.031893304
400_1090,nb_tfidf,f1_mean,0.953452232
400_1090,nb_tfidf,ci_lower,0.884400407
400_1090,nb_tfidf,ci_upper,1
400_1090,nb_tfidf,std,0.032306617
400_1090,rf_tfidf,f1_mean,0.953453116
400_1090,rf_tfidf,ci_lower,0.884400407
400_1090,rf_tfidf,ci_upper,1
400_1090,rf_tfidf,std,0.032395984
400_1090,dt_tfidf,f1_mean,0.932380685
400_1090,dt_tfidf,ci_lower,0.863352153
400_1090,dt_tfidf,ci_upper,0.984126984
400_1090,dt_tfidf,std,0.032149528
400_1090,svc_tfidf,f1_mean,0.951642876
400_1090,svc_tfidf,ci_lower,0.884400407
400_1090,svc_tfidf,ci_upper,1
400_1090,svc_tfidf,std,0.032128495
400_1090,lsvc_tfidf,f1_mean,0.95386034
400_1090,lsvc_tfidf,ci_lower,0.884400407
400_1090,lsvc_tfidf,ci_upper,1
400_1090,lsvc_tfidf,std,0.031115768
400_1090,sgd_tfidf,f1_mean,0.970480707
400_1090,sgd_tfidf,ci_lower,0.916617473
400_1090,sgd_tfidf,ci_upper,1
400_1090,sgd_tfidf,std,0.022838952
400_1090,knn_tfidf,f1_mean,0.967133203
400_1090,knn_tfidf,ci_lower,0.916617473
400_1090,knn_tfidf,ci_upper,1
400_1090,knn_tfidf,std,0.024093125
400_2080,lr_tfidf,f1_mean,0.872167831
400_2080,lr_tfidf,ci_lower,0.773263889
400_2080,lr_tfidf,ci_upper,0.953834211
400_2080,lr_tfidf,std,0.047147159
400_2080,nb_tfidf,f1_mean,0.833370801
400_2080,nb_tfidf,ci_lower,0.706793478
400_2080,nb_tfidf,ci_upper,0.939634146
400_2080,nb_tfidf,std,0.059165264
400_2080,rf_tfidf,f1_mean,0.83970752
400_2080,rf_tfidf,ci_lower,0.728448276
400_2080,rf_tfidf,ci_upper,0.945903361
400_2080,rf_tfidf,std,0.056206134
400_2080,dt_tfidf,f1_mean,0.784382977
400_2080,dt_tfidf,ci_lower,0.681325583
400_2080,dt_tfidf,ci_upper,0.870949595
